token,count
',397018
",",197858
pain,6786
-,6506
##in,5249
##s,4936
.,4736
h,4654
##op,4536
\,4427
q,4082
hyper,4040
d,3906
##l,3902
##yp,3263
##emia,3257
##n,3192
##e,3181
##d,3027
an,2974
##al,2948
e,2910
s,2890
/,2724
chest,2715
##h,2710
##ine,2689
##t,2671
##ema,2670
o,2653
