token,count
*,11814581
.,8645143
-,5994131
:,3928421
",",3544317
[,2688713
],2688621
),2163842
(,2118956
the,2063058
and,1807512
to,1566112
of,1519015
was,1419121
1,1287082
with,1080526
/,1046333
a,1044517
2,1037415
in,1018122
on,984152
name,828598
for,788067
3,719336
##s,699328
no,685736
5,681095
mg,639947
##g,629139
4,624954
